Date,Open,High,Low,Close,Adj Close,Volume
9/11/2017,0.033792,0.04038,0.033744,0.039946,0.039946,32813200
10/11/2017,0.039833,0.039833,0.031366,0.033073,0.033073,32634200
11/11/2017,0.033083,0.035829,0.031881,0.033053,0.033053,17914400
12/11/2017,0.032965,0.033334,0.027469,0.028182,0.028182,17002300
13/11/2017,0.028115,0.031968,0.028041,0.030656,0.030656,11245700
14/11/2017,0.030609,0.037129,0.030382,0.036374,0.036374,18880900
15/11/2017,0.036471,0.037343,0.03468,0.037053,0.037053,28206500
16/11/2017,0.036987,0.037897,0.034634,0.037234,0.037234,20597200
17/11/2017,0.037144,0.037293,0.034894,0.035572,0.035572,11612900
18/11/2017,0.035494,0.036583,0.034652,0.036583,0.036583,6979350
19/11/2017,0.036482,0.039945,0.036039,0.036566,0.036566,17796700
20/11/2017,0.036619,0.039783,0.036174,0.038121,0.038121,13726200
21/11/2017,0.038127,0.03906,0.036212,0.037668,0.037668,9113270
22/11/2017,0.037669,0.042299,0.037566,0.042299,0.042299,13859400
23/11/2017,0.042674,0.044142,0.040149,0.040535,0.040535,22012000
24/11/2017,0.040437,0.041181,0.038939,0.040193,0.040193,11277900
25/11/2017,0.04028,0.043943,0.04004,0.043639,0.043639,10488700
26/11/2017,0.043762,0.049111,0.043762,0.048896,0.048896,30583700
27/11/2017,0.048866,0.062059,0.048501,0.059843,0.059843,45702000
28/11/2017,0.056877,0.084987,0.056486,0.081415,0.081415,142588992
29/11/2017,0.081939,0.099881,0.060393,0.064424,0.064424,232135008
30/11/2017,0.065554,0.078906,0.063939,0.072871,0.072871,66684900
1/12/2017,0.072181,0.091459,0.071534,0.089883,0.089883,102074000
2/12/2017,0.090184,0.098519,0.089947,0.093816,0.093816,82791104
3/12/2017,0.093531,0.096906,0.08684,0.089035,0.089035,55809800
4/12/2017,0.089487,0.09761,0.087554,0.09761,0.09761,37476600
5/12/2017,0.09724,0.127591,0.093964,0.123523,0.123523,152740992
6/12/2017,0.121563,0.167933,0.111746,0.151622,0.151622,384659008
7/12/2017,0.153297,0.177148,0.131568,0.133046,0.133046,312352992
8/12/2017,0.137887,0.145762,0.120002,0.13726,0.13726,188452000
9/12/2017,0.140346,0.147715,0.124521,0.135122,0.135122,102117000
10/12/2017,0.138053,0.138053,0.103975,0.119263,0.119263,91047600
11/12/2017,0.118252,0.151842,0.117751,0.144956,0.144956,117548000
12/12/2017,0.143231,0.162208,0.136176,0.156444,0.156444,135847008
13/12/2017,0.154966,0.162841,0.14041,0.149342,0.149342,107122000
14/12/2017,0.148829,0.209779,0.147458,0.188907,0.188907,281635008
15/12/2017,0.198565,0.204663,0.163988,0.195862,0.195862,260228992
16/12/2017,0.196077,0.236646,0.190341,0.232125,0.232125,234172992
17/12/2017,0.234672,0.300678,0.227982,0.266621,0.266621,423360992
18/12/2017,0.273167,0.278075,0.257238,0.276283,0.276283,201720992
19/12/2017,0.276017,0.300504,0.245986,0.26431,0.26431,212548992
20/12/2017,0.264813,0.265206,0.21369,0.252386,0.252386,250599008
21/12/2017,0.252894,0.280786,0.240672,0.2572,0.2572,199122000
22/12/2017,0.258506,0.276193,0.161494,0.216717,0.216717,229459008
23/12/2017,0.220812,0.263453,0.213736,0.234179,0.234179,116122000
24/12/2017,0.236793,0.237185,0.198229,0.22445,0.22445,71071600
25/12/2017,0.226538,0.234519,0.212722,0.228511,0.228511,71737296
26/12/2017,0.228649,0.232918,0.210969,0.226018,0.226018,96759296
27/12/2017,0.226261,0.233267,0.216719,0.229224,0.229224,78509400
28/12/2017,0.227821,0.228361,0.200481,0.223544,0.223544,75925400
29/12/2017,0.223778,0.33576,0.22268,0.322941,0.322941,387880000
30/12/2017,0.316473,0.39038,0.289056,0.323202,0.323202,537916032
31/12/2017,0.317846,0.364302,0.307454,0.360756,0.360756,183768000
1/01/2018,0.360422,0.523593,0.360422,0.480008,0.480008,669372032
2/01/2018,0.496876,0.593645,0.472748,0.564766,0.564766,676667008
3/01/2018,0.56272,0.919994,0.562572,0.896227,0.896227,1513270016
4/01/2018,0.892399,0.938144,0.677496,0.72405,0.72405,892268032
5/01/2018,0.739457,0.791967,0.577509,0.662712,0.662712,727409024
6/01/2018,0.66306,0.788507,0.6143,0.709945,0.709945,440182016
7/01/2018,0.70973,0.744735,0.66108,0.699645,0.699645,347556992
